ITS-3.02-2014
1,1,1,1,1,1,1,1,1,1,1,0,1,
0,1,0,1,1,1,1,1,1,1,1,1,0,
1,0,1,0,1,1,1,1,1,1,1,0,0,
1,1,1,0,1,1,1,1,1,1,0,1,1,
1,0,1,0,1,1,1,1,0,1,1,0,0,
0,1,0,1,1,1,0,1,0,1,0,0,0,
0,1,1,0,0,1,1,0,1,0,1,0,0,
1,0,1,1,1,1,1,1,0,1,0,0,0,
1,1,1,0,1,1,1,1,1,1,0,1,0,
1,0,0,1,1,1,1,1,1,0,0,0,1,
0,1,1,1,1,1,1,1,0,0,1,0,0,
1,0,1,1,1,1,1,1,0,1,0,1,0,
0,1,1,1,1,0,1,1,1,0,0,0,0,
1,0,1,1,1,1,1,1,1,0,0,0,0,
0,1,0,1,1,1,1,1,1,1,0,0,0,
1,1,1,0,0,0,0,0,0,1,0,0,0,
0,0,0,1,0,1,1,1,1,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,0,1,0,
1,0,1,1,1,1,1,1,1,1,0,1,0,
0,1,0,0,0,0,0,0,0,1,1,0,0,
1,0,1,0,0,0,1,1,1,1,1,1,1,
0,1,0,1,0,0,0,1,0,1,0,0,0,
0,0,0,0,0,1,1,1,1,0,0,0,1,
1,0,0,0,0,1,1,1,1,0,0,0,1,
1,0,1,1,1,1,1,0,1,1,0,0,0,
1,1,1,1,1,1,1,1,1,1,0,1,1,
1,1,1,0,1,1,1,1,0,1,0,1,0,
0,1,0,1,1,1,0,1,0,1,0,1,0,
